Title,Description,Link,Date,Location
Festival idrijske čipke,"
Fri Jun 14 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jun 17 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Idrija",https://dogodki.kulturnik.si/?where=Idrija,"petek, 14. junij 2024",
Trnuljčica DRU,"
Sat Jun 15 2024 18:00:00 GMT+0200 (Central European Summer Time)
 SNG Opera Balet Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=SNG%20Opera%20Balet%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,"sobota, 15. junij 2024",
Festival narodnozabavne glasbe Vurberk,"
Sun Jun 16 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Jun 22 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Spodnji Duplek",https://dogodki.kulturnik.si/?where=Spodnji%20Duplek,"nedelja, 16. junij 2024",
Mednarodni glasbeni festival Arsana,"
Tue Jun 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Sep 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Ptuj",https://dogodki.kulturnik.si/?where=Ptuj,"torek, 18. junij 2024",
Jurjevanje v Beli krajini,"
Wed Jun 19 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jun 24 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Črnomelj",https://dogodki.kulturnik.si/?where=%C4%8Crnomelj,"sreda, 19. junij 2024",
Festival Lent,"
Fri Jun 21 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jun 30 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,"petek, 21. junij 2024",
To noč sem jo videl,"
Sat Jun 22 2024 18:00:00 GMT+0200 (Central European Summer Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,"sobota, 22. junij 2024",
To noč sem jo videl,"
Sun Jun 23 2024 18:00:00 GMT+0200 (Central European Summer Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,"nedelja, 23. junij 2024",
Elvis Homan,"
Fri Jun 28 2024 20:00:00 GMT+0200 (Central European Summer Time)
 Klub Štala, Lokavec Ajdovščina",https://dogodki.kulturnik.si/?where=Klub%20%C5%A0tala%2C%20Lokavec-https://dogodki.kulturnik.si/?where=Ajdov%C5%A1%C4%8Dina,"petek, 28. junij 2024",
Gibonni,"
Sat Jun 29 2024 21:00:00 GMT+0200 (Central European Summer Time)
 Titov trg Koper Koper",https://dogodki.kulturnik.si/?where=Titov%20trg%20Koper-https://dogodki.kulturnik.si/?where=Koper,"sobota, 29. junij 2024",
Festival Bled,"
Mon Jul 01 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 15 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Lesce",https://dogodki.kulturnik.si/?where=Lesce,"ponedeljek, 1. julij 2024",
Folklorni festival MIFF Piran,"
Wed Jul 03 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sun Jul 07 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Piran",https://dogodki.kulturnik.si/?where=Piran,"sreda, 3. julij 2024",
Jazz foto razstava,"
Tue Jul 09 2024 00:00:00 GMT+0200 (Central European Summer Time)
Sat Jul 27 2024 23:59:59 GMT+0200 (Central European Summer Time)
 Cankarjev dom, Mala galerija Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Mala%20galerija-https://dogodki.kulturnik.si/?where=Ljubljana,"torek, 9. julij 2024",
Festival Butik,"
Wed Jul 10 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Jul 15 2024 00:00:00 GMT+0200 (Central European Summer Time)
 Tolmin",https://dogodki.kulturnik.si/?where=Tolmin,"sreda, 10. julij 2024",
