Title,Details,InfoLinks,LinkToPage,Date
"Šola zmajeslovja, Prerokba o pogubi zmajev","
Sun Oct 13 2024 10:30:00 GMT+0200 (Central European Summer Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/sola-zmajeslovja-prerokba-o-pogubi-zmajev/vstopnice-1176024.html,"nedelja, 13. oktober 2024"
Coprnice so me nosile,"
Tue Oct 15 2024 17:30:00 GMT+0200 (Central European Summer Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/coprnice-so-me-nosile/vstopnice-1176223.html,"torek, 15. oktober 2024"
Mednarodni festival računalniške umetnosti (MFRU),"
Fri Oct 18 2024 00:00:00 GMT+0200 (Central European Summer Time)
Mon Oct 28 2024 00:00:00 GMT+0100 (Central European Standard Time)
 Maribor",https://dogodki.kulturnik.si/?where=Maribor,http://www.mfru.org,"petek, 18. oktober 2024"
Izza grajskih rešetk,"
Tue Nov 05 2024 17:00:00 GMT+0100 (Central European Standard Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/izza-grajskih-resetk/vstopnice-1176224.html,"torek, 5. november 2024"
Divje jezero,"
Fri Nov 08 2024 20:00:00 GMT+0100 (Central European Standard Time)
 Klub Štala, Lokavec Ajdovščina",https://dogodki.kulturnik.si/?where=Klub%20%C5%A0tala%2C%20Lokavec-https://dogodki.kulturnik.si/?where=Ajdov%C5%A1%C4%8Dina,https://www.kudkussa.com/events.html,"petek, 8. november 2024"
"Šola zmajeslovja, Vrhovna čarovnica","
Sun Nov 10 2024 10:30:00 GMT+0100 (Central European Standard Time)
 Ljubljanski grad Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20grad-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/sola-zmajeslovja-vrhovna-carovnica/vstopnice-1176025.html,"nedelja, 10. november 2024"
André Rieu,"
Sat Nov 16 2024 19:30:00 GMT+0100 (Central European Standard Time)
 Dvorana Stožice Ljubljana",https://dogodki.kulturnik.si/?where=Dvorana%20Sto%C5%BEice-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.facebook.com/events/649419839570074/,"sobota, 16. november 2024"
K sosedu v vas,"
Sat Nov 23 2024 19:00:00 GMT+0100 (Central European Standard Time)
Sat Nov 23 2024 20:30:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/prireditev-drugega-organizatorja/k-sosedu-v-vas,"sobota, 23. november 2024"
Koncert Prifarcev s prijatelji,"
Sun Nov 24 2024 19:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/koncert-prifarcev-s-prijatelji/vstopnice-1179340.html,"nedelja, 24. november 2024"
Koncert Prifarcev s prijatelji,"
Mon Nov 25 2024 19:00:00 GMT+0100 (Central European Standard Time)
 Cankarjev dom, Gallusova dvorana Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom%2C%20Gallusova%20dvorana-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/koncert-prifarcev-s-prijatelji/vstopnice-1179341.html,"ponedeljek, 25. november 2024"
Slovenski bienale ilustracije (SBI),"
Wed Nov 27 2024 00:00:00 GMT+0100 (Central European Standard Time)
Wed Jan 22 2025 00:00:00 GMT+0100 (Central European Standard Time)
 Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljana,http://zdslu.si/projekti-in-gradiva/slovenski-bienale-ilustracije/,"sreda, 27. november 2024"
Delavnica adventnih venčkov,"
Thu Nov 28 2024 17:00:00 GMT+0100 (Central European Standard Time)
 Ljubljanski Grad:Zmajev brlog Ljubljana",https://dogodki.kulturnik.si/?where=Ljubljanski%20Grad%3AZmajev%20brlog-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.mojekarte.si/si/delavnica-adventnih-venckov/vstopnice-1179926.html,"četrtek, 28. november 2024"
TURANDOT,"
Fri Nov 29 2024 19:30:00 GMT+0100 (Central European Standard Time)
 SNG Maribor: Dvorana Ondine Otta Klasinc... Maribor",https://dogodki.kulturnik.si/?where=SNG%20Maribor%3A%20Dvorana%20Ondine%20Otta%20Klasinc...-https://dogodki.kulturnik.si/?where=Maribor,https://sngmb.mojekarte.si/si/turandot/vstopnice-1177351.html,"petek, 29. november 2024"
Ansambel Saša Avsenika,"
Sat Dec 07 2024 20:00:00 GMT+0100 (Central European Standard Time)
 Hala Tivoli Ljubljana",https://dogodki.kulturnik.si/?where=Hala%20Tivoli-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.facebook.com/events/301683959503395/,"sobota, 7. december 2024"
Ansambel Saša Avsenika,"
Sat Dec 21 2024 20:00:00 GMT+0100 (Central European Standard Time)
 Dvorana Tabor Ljubljana",https://dogodki.kulturnik.si/?where=Dvorana%20Tabor-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.facebook.com/events/1145609006443622/,"sobota, 21. december 2024"
Spletna predavanja ob razstavi V vrtincu sprememb,"
Tue Dec 31 2024 00:00:00 GMT+0100 (Central European Standard Time)
Tue Dec 31 2024 23:59:59 GMT+0100 (Central European Standard Time)
 Cankarjev dom Ljubljana",https://dogodki.kulturnik.si/?where=Cankarjev%20dom-https://dogodki.kulturnik.si/?where=Ljubljana,https://www.cd-cc.si/kultura/literatura-in-humanistika/spletna-predavanja-ob-razstavi-v-vrtincu-sprememb,"torek, 31. december 2024"
Kosovel + Rog RD,"
Sat Mar 18 2028 16:00:00 GMT+0100 (Central European Standard Time)
Sat Mar 18 2028 23:30:00 GMT+0100 (Central European Standard Time)
 Trubarjeva cesta, Ljubljana Ljubljana",https://dogodki.kulturnik.si/?where=Trubarjeva%20cesta%2C%20Ljubljana-https://dogodki.kulturnik.si/?where=Ljubljana,http://www.facebook.com/events/407433133037834,"sobota, 18. marec 2028"
